title,manufacturer,length,size category,year built,file_name
viko s22,viko,6.95,[6.5-7.5),2024,27679f3b61018387.jpg
viko s22,viko,6.95,[6.5-7.5),2024,7cdfdfdf1e0e0000.jpg
viko s22,viko,6.95,[6.5-7.5),2024,7f7f3e34609c1e5e.jpg
viko s30,viko,9.27,[8.5-9.5),2024,63ffffbf3f100000.jpg
viko s30,viko,9.27,[8.5-9.5),2024,ffff8f4f0e000000.jpg
viko s30,viko,9.27,[8.5-9.5),2024,ffffffebe3000000.jpg
viko s30,viko,9.27,[8.5-9.5),2024,ffffffff00420800.jpg
viko s30,viko,9.27,[8.5-9.5),2024,fffffffff8000000.jpg
rohde jollenkreuzer,rohde,8.25,[7.5-8.5),1959,ffc181fdbf8181f3.jpg
rohde jollenkreuzer,rohde,8.25,[7.5-8.5),1959,fffffff000000000.jpg
sabre segelboot gfk volvo diesel,sabre,8.24,[7.5-8.5),1972,7f3f1f3e90000000.jpg
sabre segelboot gfk volvo diesel,sabre,8.24,[7.5-8.5),1972,fffc1c90fe7e1400.jpg
sabre segelboot gfk volvo diesel,sabre,8.24,[7.5-8.5),1972,fffffffffe000000.jpg
x-yachts x99,x-yachts,10.0,[9.5-10.5),1992,fdfffff7c0000000.jpg
x-yachts x99,x-yachts,10.0,[9.5-10.5),1992,ff00137f7c3e0f03.jpg
x-yachts x99,x-yachts,10.0,[9.5-10.5),1992,ffffffff04050181.jpg
jeanneau sun odyssey 349,jeanneau,10.34,[9.5-10.5),2023,00000000fe7e7f7f.jpg
jeanneau sun odyssey 349,jeanneau,10.34,[9.5-10.5),2023,ff7fcfdf03060000.jpg
jeanneau sun odyssey 349,jeanneau,10.34,[9.5-10.5),2023,ffffff60283e0400.jpg
dufour d310,dufour,9.36,[8.5-9.5),2017,00e3ffffff103800.jpg
dufour d310,dufour,9.36,[8.5-9.5),2017,307cffff73210404.jpg
dufour d310,dufour,9.36,[8.5-9.5),2017,ff1e1c34fcdc0001.jpg
dufour d310,dufour,9.36,[8.5-9.5),2017,ffff0000e4663800.jpg
dufour d310,dufour,9.36,[8.5-9.5),2017,ffffffff10003e00.jpg
akros (stoberl),akros,9.2,[8.5-9.5),1995,063e2604e4efef20.jpg
akros (stoberl),akros,9.2,[8.5-9.5),1995,ff8000f8dfc4c0e0.jpg
akros (stoberl),akros,9.2,[8.5-9.5),1995,ffff1f00127b0103.jpg
akros (stoberl),akros,9.2,[8.5-9.5),1995,ffffffffa7832100.jpg
viko yachts viko |s22,viko yachts,6.95,[6.5-7.5),2013,3f3ff7f100000784.jpg
abeking &amp; rasmussen a &amp; r 16 kr yawl asgard,rasmussen,25.0,[24.5-25.5),1960,ffe1e0c363e6c6c6.jpg
abeking &amp; rasmussen a &amp; r 16 kr yawl asgard,rasmussen,25.0,[24.5-25.5),1960,fffbfbf1d1d10000.jpg
